#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
35,"Jouluyö, juhlayö","ABREU",36,76,"finnish pop, iskelmä, finnish hip hop","Hip Hop, Pop, Traditional Music","JOULU",2017-11-24,03:07,29,18,47,0,21,0,10,-11,G,5,2025-11-24,4J9PFZJk46CVC9E2wgGxfb,"WM Finland",9B,FIWMA1700265
36,"Christmas Without You","Ava Max",70,118,"","","Christmas Without You",2020-10-15,02:49,65,60,42,0,38,0,10,-5,C♯/D♭,4,2025-11-24,1QLZKzC2pjP4ySf4ALrNhm,"Atlantic Records",3B,USAT22006602
37,"Christmas Lights","Coldplay",74,129,"","","Christmas Lights",2010-12-01,04:02,32,42,13,0,24,0,0,-9,G,4,2025-11-24,4fzyvSu73BhGvi96p2zwjL,"Parlophone UK",9B,GBAYE1001401
38,"Candy Cane Lane","Sia",0,130,"","","Everyday Is Christmas",2017-11-17,03:32,59,91,0,0,39,0,0,-4,C♯/D♭ minor,4,2025-11-24,1NfNdnuFbTgYpRG0z5bHxv,"Monkey Puzzle/Atlantic",12A,USAT21704211
39,"Tule joulu kultainen","Arja Koriseva",36,85,"iskelmä, finnish pop, tango","Pop, Traditional Music, Latin","Saa joulu aikaan sen",1991-00-00,03:22,31,18,90,1,34,0,10,-15,G,4,2025-11-24,2UERmKEAInOn2waQ8yj3u5,"WM Finland",9B,FIFMF9100004
40,"Like It's Christmas","Jonas Brothers",75,146,"","","Like It's Christmas",2019-11-08,03:20,73,57,2,0,61,10,0,-6,C♯/D♭,4,2025-11-24,1OjmlSFuzYflWjSMTCyTJv,"Jonas Brothers",3B,USUG11903894
41,"Deck The Hall","Nat King Cole",77,108,"christmas, adult standards, vocal jazz","Easy Listening, Pop, Jazz","The Christmas Song (Expanded Edition)",1962-00-00,01:08,68,44,74,0,96,0,20,-11,A,4,2025-11-24,0rHToGels2lt8Y0mCYoF90,"CAPITOL CATALOG MKT (C92)",11B,USCA29900552
42,"Maa on niin kaunis (Toivioretkellä)","Ellinoora",40,132,"finnish pop, iskelmä, finnish rock","Pop, Rock, Traditional Music","Maa on niin kaunis (Toivioretkellä)",2017-11-21,02:20,29,18,84,0,24,0,10,-11,D,5,2025-11-24,5ePePcvp5FnkuzjxnQdQbf,"WM Finland",10B,FIWMA1700263
43,"I Saw Mommy Kissing Santa Claus - Live At Union Chapel / BBC Radio 2","Amy Winehouse",42,128,"","","I Saw Mommy Kissing Santa Claus (Live At Union Chapel / BBC Radio 2)",2020-11-20,02:12,74,37,91,0,51,0,60,-6,A,4,2025-11-24,4lcOoKiLjBddCcg9FkeIJL,"UMC (Universal Music Catalogue)",11B,GBCAD2000629
44,"Tuikkikaa, oi joulun tähtöset","BESS, Kaihon Karavaani",37,164,"finnish pop, iskelmä, finnish hip hop","Hip Hop, Pop, Traditional Music","Kaihon Karavaanin Joulu",2020-11-13,04:47,64,57,16,0,60,0,0,-11,F minor,4,2025-11-24,5O4s1218wemuZg1l52oHHN,"Universal Music Oy",4A,FIUM72000428
45,"Fairytale of New York (feat. Kirsty MacColl)","The Pogues, Kirsty MacColl",72,78,"celtic punk, celtic rock, christmas, folk punk, celtic","Folk, Traditional Music, Rock, Pop","If I Should Fall from Grace with God (Expanded Edition)",1988-09-05,04:32,27,55,58,0,43,0,20,-7,D,4,2025-11-24,3VTNVsTTu05dmTsVFrmGpK,"WM UK",10B,GBAHT8703085
46,"Rakkaus meihin jää","Suvi Teräsniska",35,132,"iskelmä, finnish pop, christmas","Pop, Traditional Music","Rakkaus meihin jää",2024-11-08,03:26,41,28,91,0,21,0,0,-10,A,3,2025-11-24,5CUUEi8Ss627PiolRREe4q,"WM Finland",11B,FIWMA2400426
47,"Baby It's Cold Outside (with Michael Bublé)","Idina Menzel, Michael Bublé",75,113,"musicals, christmas","Pop, Classical, Easy Listening","Holiday Wishes",2014-10-10,02:46,55,48,65,0,56,0,20,-9,C,3,2025-11-24,0Ie5uiv54KgCr7P4sYDTHl,"Warner Records",8B,USWB11402616
48,"Joululaulu","emma & matilda",41,125,"finnish pop, finnish hip hop","Hip Hop, Pop","Joululaulu",2023-12-08,02:36,49,18,94,0,27,0,10,-12,A#/B♭,4,2025-11-24,18Ra4rWQdsL8ViBBj3sNas,"WM Finland",6B,FIWMA2300628
49,"Joulurauhaa","Pete Parkkonen",34,158,"finnish pop, iskelmä, finnish rock","Pop, Rock, Traditional Music","Joulurauhaa",2022-12-02,03:44,34,53,2,0,33,0,0,-8,G#/A♭,3,2025-11-24,7uvTnNMdDoWG6dyT3ZYTCR,"WM Finland",4B,FIWMA2200451
50,"Arkihuolesi kaikki heitä","Jippu",22,77,"finnish pop, iskelmä, finnish rock","Pop, Rock, Traditional Music","Rakkauden joulu",2014-11-07,02:24,27,12,92,0,13,0,0,-16,D#/E♭,4,2025-11-24,1t15tL2IREaMdiTZMwvaaB,"WM Finland",5B,FIWMA1400271
