#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
111,"What A Wonderful World","Louis Armstrong",1,108,"jazz, swing music, big band, vocal jazz, jazz blues","Jazz, Blues","What A Wonderful World",1968-00-00,02:17,40,26,79,0,19,0,10,-16,F,3,2025-01-15,1qCQTy0fTXerET4x8VHyr9,"Geffen*",7B,USMC16758823
112,"Lil Boo Thang","Paul Russell",75,114,"","","Lil Boo Thang",2023-08-18,01:54,85,70,15,0,92,0,30,-3,C,4,2025-01-15,0cVyQfDyRnMJ0V3rjjdlU3,"Arista Records",8B,USAR12300323
113,"Pretty Girl","Maggie Lindemann",61,125,"","","Pretty Girl",2016-09-30,03:39,46,76,30,0,38,10,20,-4,A#/B♭,5,2025-01-15,1ue7zm5TVVvmoQV8lK6K2H,"300 Entertainment",6B,QMCE31600748
114,"At Last","Etta James",76,87,"soul, jazz blues, soul blues, blues, vocal jazz","Blues, Jazz, R&B","At Last!",1960-00-00,02:59,27,35,55,1,33,0,30,-9,F,3,2025-01-15,4Hhv2vrOTy89HFRcjU3QOx,"Geffen*",7B,USMC16046323
115,"Dark Side","Blind Channel",47,98,"","","Dark Side",2021-01-21,02:57,57,96,0,0,44,10,20,-4,G,4,2025-01-15,1ovFnZv6mUe0LzAbfVqOmh,"Sony Music/Ranka Kustannus",9B,FIRAN2100001
116,"Sherry","Frankie Valli & The Four Seasons",61,118,"doo-wop, northern soul, motown","Pop, R&B","Sherry and 11 Other Hits",1962-10-01,02:32,70,47,65,0,69,0,10,-8,C,4,2025-01-15,7sqK6f8dHVx3Q1GjFrVyGl,"Rhino",8B,USRH10175197
117,"That's Not My Name","The Ting Tings",61,145,"alternative dance","Electronic, Pop, Rock","We Started Nothing",2007-00-00,05:10,76,90,5,4,96,0,30,-3,A,4,2025-01-15,1i1OuCNhNf7JwrlWlFZFu1,"Columbia",11B,GBARL0800038
118,"Gangnam Style (강남스타일)","PSY",75,132,"k-pop","Pop","Gangnam Style (강남스타일)",2012-01-01,03:39,73,94,0,0,75,20,0,-3,B minor,4,2025-01-15,03UrZgTINDqvnUMbbIMhql,"Silent Records/Universal Republic Records",10A,USUM71210283
119,"Tipi-tii","Marion Rung",17,83,"iskelmä, finnish pop","Pop, Traditional Music","Marion Rung",1973-00-00,02:12,51,40,87,0,63,0,10,-8,A minor,4,2025-01-15,7r0GgmwNre1NtsrRA00bMa,"WM Finland",8A,FIFMF6200003
120,"Brown Eyed Girl","Van Morrison",50,151,"","","Blowin' Your Mind!",1967-09,03:03,49,58,19,0,91,0,40,-11,G,4,2025-01-15,3yrSvpt2l1xhsV9Em88Pul,"Columbia/Legacy",9B,USSM16700357
